句子,过渡句,交互句,其他
下面我们开始学习第一节啊第一章的第一节。,1,0,3
第一章的第一节是数据库系统概述，这一节我们要完成,0,0,2
三个方面的内容。在这一节里面，第一个就是我们要学习数据库里边,0,0,1
几个最最基本概念，这个很重要，是我们数据库的基础，啊它的,0,0,1
基本的概念就这么几个就这么几个，4个。,0,0,1
然后呢我们要说一下数据库技术是怎么产生，,1,1,1
啊他不是说一开始就有这个故事是吧？他是经过了啊一定的,0,0,1
这个计算机发展的时期，而产生的第三个就是我们要说一下数据库系统的特点是什么？,0,0,1
这是第一节。,0,0,1
啊首先我们来看4个基本概念4个基本概念，第一个什么是数据？噢,1,0,1
什么是数据库？,0,0,1
第2个第3个数据库管理系统，dbms第4个数据库系统，,0,0,1
尤其是第3个和，第4个啊,0,0,1
嗯有位，同学学的时候不是太明确这两者之间的对。,0,0,1
我们有同学是这个,0,0,1
唉参加这个计算机等级考试计算机等级考试，你如果他可以考数据结构，也可以考数据库是吧？你考数据库的话，,0,0,1
他经常会出现这样的一些题目，他就是啊问这个 Dbs和DBS之间是个什么样的关系？,0,0,1
那么我们待会说啊我们再来看，首先看什么是数据数据，,1,0,0
嗯我们说它就是一种符号，一种载体，,0,0,1
刚才我们看京东那个网站调出来，那个小米的信息是以数据的形式呈现的，对吧？那么我们,0,1,0
所说的这个数据是一个很广义的概念，也就是说,0,0,1
它包括数字型数字数据或者数字型的数据，,0,0,1
像我们在中学里面接触比较多的数据都是数值型的数据是吧？那么除了这个以外，呢我们说,0,0,1
嗯所有的文字、图形、图像、音频、视频等等，,0,0,1
这些对于计算机而言，它通通都是它的数据，啊通通都是。,0,0,1
那么为什么呢大家可能不是很理解，啊我想说一下，,0,1,0
他是学计算机原理，学了吧大一的到,0,0,1
有没有健身体检这样的基础。唉好，那么,0,0,1
你们应该清楚计算机的这个这个,0,0,1
机器它用到的是，什么镜子的？二进制对吧？,0,1,0
二进制我们说它就是1和0，对不对？它所有的为什么会用到二进制？呢绝对当然就是,0,2,0
像我这个学物理你就知道从物理实现上来讲，啊,0,0,1
就是说两种稳定的状态在物理上是比较容易实现，,0,0,1
比如说这个电灯两种稳定的状态，哪两种？,0,0,1
要么是开，要么是关对吧？,0,1,0
那么我们把这两种状态分别用1和0，,0,0,1
在计算机里面一它是高点的状态，,0,0,1
零食低点补充的，啊在我们电脑里面它这个高电平是正的12点，低电平,0,0,1
是是是啊在物理上是稳定的状况可以区别的，啊就是就是,0,0,1
那么我们在这个电脑里面，你比如说你的打开后再向这个主板上面，我知道大家有没有注意过，啊,0,0,1
以后主板上面它很多有差的有几十块是吧？它几十块这个是它的这个环角对不对？,0,1,0
啊我们还看到这个电脑里面有数据线嘛对不对？,0,1,0
好，那么二进制,0,0,1
我们说从物理实现来讲，它是比较容易实现的，无非就是高度有一点点，啊那么我们其他的,0,0,1
比如说十进制的数，啊十进制的数，呃比如说十进制的方案，我们如果用二进制怎么表示啊，,1,1,2
这个倒行了，吧应该是111，我如果用一个字节的话，会8位八位二进制,0,0,1
是一个字节，这是个存储的单位是吧？这个就是十进制的八，,0,0,1
噢这是7是吧？嗯嗯48对吧？唉唉唉。,0,1,0
我讲了三个班，前面两个班都没有指出这个错误，啊好，,0,0,1
那么这样一般我如如果我要把它在数据线上面送过去的话，简不简单？,0,0,1
啊如果我要把它送过去的话，我可以这边是什么？低电平低电平低电平高电平低电平低电平，对不对？啊,0,1,0
这是不是就是可以从你的数据过去？,0,0,1
好，所有的数字数据，所有的文字，,0,0,1
比如说我们汉字可不可以编码？,0,0,1
可以编码吧都可以编成二进制的码，包括我们的图形、图像、,0,0,1
这个音频、啊视频全部可以转换为二进制的码，还有我们计算机里面一些指令，啊,0,0,1
我们一些指令都是用二进制代码，啊就是说我这个可以输数据，也可以输指令过去，对不对？,0,1,0
啊唉,0,0,1
所有的指令可以通过编码，为什么？你你像我们这个原来搞这个硬件的时候，,0,1,0
用c语言比较多，它因为c语言它是可以直接对二进制的胃进行起作用的是吧？,0,0,1
唉所以它是比较贴近，嗯那就是说,0,0,1
我们所有只要我这样说，啊只要可以转换成二进制编码的，,0,0,1
我们统统称为计算机的什么？数据对吧？,0,1,0
所以我们在这里啊数据是个很广义的概念，啊很广义嗯那么这个数据呢它只是一种符号，,0,0,1
他要嗯这个带上一定的语义才能表达出一定的,0,0,1
信息，也就是说它要具备一定的内涵是吧？才是他的信心。,0,0,1
啊比如说大家看我屏幕上这个例子，就是,0,0,1
就三这两个这两个这样一个数据，你给你以后，你不知道他什么意思是吧？,0,0,1
给不出什么信息来，你可能会联想到噢93，那可能是某一,0,0,1
啊某一门这个某一个学生的，我们课程的成绩是93，我可以这样理解吧？,0,0,1
也可以理解成某个人的体重啊93斤或者93公斤是吧？唉,0,0,1
还有你还可以理解为某个比如计算机系啊第三级的这个学生的人数,0,0,1
是93位同学，所以他这个,0,0,1
啊这个数据它是一个形式，啊它要是赋予它一定的内涵以后，它才能表达出,0,0,1
一定要信息出来。,0,0,1
比如说我举个例子，这个2016年是吧11月10号，,0,0,1
这个朗朗要不要看啊这个钢琴？这个当然是我瞎编的，啊,0,0,1
但是这一句话是不是传达给你信息了，吧是不是？,0,0,1
唉这句话它就是它的载体是数据，嘛,0,0,1
对不对？2016年有数字数据，也有文字的数据，啊2016年,0,1,0
这个10月10号是吧？谁谁谁哪个地方谁谁谁比方这个称为数据。好，我们书上给的这个例子看见没有？,0,0,1
我们在数据库里边啊我们会碰到一些像经常碰到这样一些学，比如说学生的信息，啊,0,0,1
有学生的姓名、性别、出生年月，他的这个出生地啊所在的系啊,0,0,1
啊入学的时间，这个就是它表现出来形式是数据，但是它给出你的信息是,0,0,1
这个学生的相关的一些学生。,0,0,1
好，有了数据以后，我们来看看数据库的定义，数据库的定义大家看一下啊它的落脚点什么是数据库？啊,0,0,1
所谓的库顾名思义就是像个仓库一样的，唉就是数据的集合对不对？,0,1,0
唉所以它的落脚点是数据的集合，我们叫做数据，就是把数据集中起来进行管理。,0,0,1
好，我们再来看它的定义，前面的一些定语，啊它的定语什么样的数据集合呢？,0,0,1
唉我们来看看啊首先大量的数据，大量数据，啊再一个就是它是存储在计算机内的，,1,0,0
我们现在所指的数据库都是和计算机有关的，啊就是存储在计算机内，请问存储在计算机什么地方？,0,1,0
第一步，,0,0,1
计算机的存储设备有啊存有有内存和外存对吧？是存在,0,1,0
长期存储应该存在哪里？外存存在外部存在是比如磁盘啊或者光盘啊和磁盘阵列啊等等是吧？,0,0,1
好，那么这些数据它不是说随意的把它堆放在一起，,0,0,1
它是有组织有结构的，我们后面要谈到数据模型对不对？所以它是有可以共享，,0,1,1
啊可以共享。,0,0,1
你你看看我们那个平时呃学期结束了，我们要回家，,0,0,1
我们去购票、火车票、高铁票、飞机票，整个这个购票系统，,0,0,1
所有的这个数据信息它有后台数据库支撑对吧？,0,1,0
那么这个购票系统,0,0,1
是不是北京的同一个航班或者同一个车次的话，,0,0,1
你北京的可以看到它的数据，武汉的也可以看到数据，那么广州也可以看得出是不是大家都可以共享，数据是可以共享，,0,0,1
数据库，还有银行里面数据也是这样的，当然我们需要有权限，啊我们每个人只能看到，,0,0,1
当然他是有权限的，他是都可以看好，那么这样一来什么叫数据库？你需不需要去背它？,0,0,1
不需要对吧？它就是可以长期存储在计算机内的大量的数据，这些数据是有组织的，可以共享，,0,1,0
这也是数。,0,0,1
那么什么是数据库管理系统？呢,0,0,1
数据库管理系统是DB什么？,0,0,1
再强调一下第一批数据库，我们以后凡是滴滴啊数据库,0,0,1
管理是用白红管理信息，数据库管理系统它是一个软件，,0,0,1
请注意是一个，软件，我们知道计算机的软件分几种系统，软件和应用软件，,0,0,1
请问数据库管理软件属于,0,1,0
唉今今天，还有不少同学说的是系统软件，啊它和操作系统一样，是属于系统软件，,0,0,1
属于系统里面，我们这里应该有计算机专业，属于系统软件，不是普修的，啊他选课没选大学，,0,0,1
嗯嗯那么计算机的系统软件三类，一个是操作系统，,0,0,1
一个是数据库管理软件，还有一个是编译系统，一个是编译系统。,0,0,1
这三种类型在,0,0,1
数据库系统之上，我们再用这个开发工具去开发出应用,0,0,1
应用软件应用程序，或者是这个用户直接用户的界面和这个前台这样,0,0,1
关系。,0,0,1
好，记住了，数据库管理系统它是一个软件，也就是说它是一个大型的程序，是由专门的,0,0,1
