start,end,words,type
00:11.9,00:23.8,SQL语言，首先我们看一下SQL是哪三个？英文单词的缩写,过渡
00:25.3,00:33.2,那个 s代表结构化结构化，这个是查询是吧？结构化的查询，,其他
00:34.6,00:38.8,为什么把数据库的语言叫做查询语言？呢,交互
00:39.3,00:45.2,唉我们说数据库的操作我们有查询和更新，对不对？唉有查处查询，,其他
00:45.2,00:53.7,但是我们主要的抄写应该是查询，所以我们有时候把数据库原理叫做查询，,其他
00:53.7,01:08.2,但实际上这个语言体系它包含的功能除了查询以外，还有数据的更新，还有数据的定义，还有数据的控制权限的控制作用，,其他
01:08.5,01:19.1,这个盐呢我们说它是一种标准，所谓的标准就是说所有的关系数据库软件都应该支持这个，,其他
01:19.6,01:28.8,比如说我们上级用的麦斯口是关系数据库软件，嘛他就自己可以还有像我们也是给大家看excess，,其他
01:30.1,01:34.6,像奥尔克斯科斯曼他都支持这个公司，,其他
01:35.1,01:45.4,但是不同的软件，他有可能在这个语言的功能上面它有所补充，有些区别，啊,其他
01:48.2,01:58.4,但是最基本的在这个标准里面，啊我们总说法啊说这个啊三流企业做什么？二流企业，一流企业就是做标准，啊,其他
02:00.5,02:27.8,那么关于这个SQL，呢大家看文书上有一个亮点，啊一个标准，,过渡
02:08.0,02:18.0,嗯它也经历了啊不同的这样一个版本，吧啊一定要,其他
02:18.1,02:23.4,在过去在过去的教材，里边呃用的比较多的是92，,其他
02:25.6,02:39.9,我们这个应该是他在这个基础上应该都啊，有时候你看后面一些表里边，它都交到了2011啊,其他
02:42.1,02:48.2,好资格语言的这个可以这个语言的特点我们要给大家介绍一下。,过渡
02:49.7,03:04.7,第一，这个数据库语言我刚才说了，它有对数据库里的数据查询、更新、定义、啊疾控，所以我们说它是一个首先第一个特点就是综合统一的功能，对吧？,其他
03:04.8,03:12.5,唉它里面有进行定义的，数据定义的语言一定要有，但是数据定义，语言啊,其他
03:12.9,03:20.7,唉数据操作、数据控制、语言CS控制，,其他
03:21.3,03:29.5,包括这么一些个功能，啊包括建立数据库，啊啊建立这个关系，,其他
03:30.3,03:34.2,建立视图、啊插入数据啊等等，,其他
03:34.5,03:38.4,查询啊更新啊数据库的重构，啊安全性啊嵌入式思考。,其他
03:43.1,03:48.0,好，这是他的第一个特点，啊就是综合统一很多个功能。,过渡
03:48.9,03:53.7,第二个就要高度的非过程化。,过渡
03:54.4,04:02.2,还记得我们前面讲三大经典模型的时候，因为这个语言是关系模型，关系数据库的,其他
04:03.1,04:08.6,标准语言，就是说他用到的数据模型是关系模型，,其他
04:08.6,04:12.7,那么前面我们介绍过层次模型和网络模型,其他
04:12.8,04:20.6,这两种模型，是非过呃是过程化的是吧？是非关系模型，是过程化的，,其他
04:22.0,04:35.4,而关系模型呢通过的话，它的它的推动也就是说在这个语句里边，我们只是写出你要做什么，,其他
04:37.1,04:47.4,而与具体的固定路径没有关系，那你就不用啊不用管怎么做，这个对用户是透明的。,其他
04:54.0,04:56.1,好。第三个特点，,过渡
04:56.4,05:05.3,它既然是关系数据库的标准语言，我们说关系数据库它的数据的呈现形式是什么？,交互
05:06.5,05:12.6,大家都上去了，就是二维表嘛就是关系嘛二维表是原主的及格，吧,其他
05:13.0,05:22.9,所以这个语言是面向集合的操作方式和那个关系电视，关系代数操作对象,其他
05:25.3,05:26.9,是原组的集合。,其他
05:27.3,05:29.5,好，第4个特点，,过渡
05:29.8,05:34.6,这个 SQL语言呢它的使用方式，,其他
05:35.0,05:45.7,他说有多种使用方式，这里我们嗯两种使用方式，两种使用方式，一种是这种语言可以独立的使用，,其他
05:46.2,05:54.2,啊你像我们这个方面的专业人员，我们就用数据库语言来通过这个啊数据库软件，,其他
